,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
2503,,"Which type of sentence is this?
As Harry sat down on the rickety old chair, it abruptly collapsed beneath him.","['simple', 'complex', 'compound-complex', 'compound']",1,,closed choice,grade8,language science,grammar,Correct–Correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is complex. It is made up of an independent clause and a dependent clause. The dependent clause begins with the subordinating conjunction as.
As Harry sat down on the rickety old chair, it abruptly collapsed beneath him.",(B),1,B,B,Reasoning:The chair collapsed beneath Harry as he sat down on it. The final answer: (B).,The chair collapsed beneath Harry as he sat down on it.,B,1
7904,,"Complete the sentence.
 Paul Revere played an important role in ().","['the American Revolution', 'the Mayflower voyage', 'the Civil War', 'World War II']",0,,closed choice,grade3,social science,us-history,Correct–Correct,Paul Revere,,"Paul Revere played an important role in the American Revolution. The American Revolution took place between 1765 and 1783.
Americans fought the revolution to win freedom from Great Britain. Men and women who fought for freedom from British rule were called Patriots. Paul Revere was one of the most famous Patriots.",(A),1,A,A,Reasoning:Paul Revere played an important role in the Civil War. The final answer: (A).,Paul Revere played an important role in the Civil War.,A,1
769,,Select the animal.,"['Aloe vera has spiny leaves.', 'Hummingbirds walk and fly.', 'Mango trees have many leaves.', 'Giant water lilies can grow big flowers.']",1,,closed choice,grade3,natural science,biology,Correct–Correct,Identify plants and animals,"Plants and animals are living things. Living things are called organisms.
Plants come in many shapes and sizes. Most plants grow in the ground. They might grow leaves, flowers, and fruit. Plants cannot move around on their own like animals can.
Animals also come in many shapes and sizes. Most animals can move around. Animals might run, swim, jump, or fly. Animals eat plants or other organisms for food.","Aloe vera is a plant. It has spiny leaves.
Aloe vera leaves contain a watery liquid. People use this liquid in lotion and medicine.
A mango tree is a plant. It has many green leaves.
Mango trees can grow to over 100 feet tall!
A hummingbird is an animal. It walks and flies.
A hummingbird can fly backwards and upside-down!
A giant water lily is a plant. It can grow big flowers.
Giant water lilies grow in the Amazon river in South America.",B,1,B,B,Reasoning:Hummingbirds walk and fly. Hummingbirds have spiny leaves. The final answer: (B).,Hummingbirds walk and fly. Hummingbirds have spiny leaves.,B,1
8735,,How long is a walk across Central Park in New York City?,"['2 millimeters', '2 meters', '2 kilometers', '2 centimeters']",2,Select the best estimate.,closed choice,grade7,natural science,units-and-measurement,Correct–Correct,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a walk across Central Park in New York City is 2 kilometers.
2 millimeters, 2 centimeters, and 2 meters are all too short.",C,1,C,C,Reasoning:A walk across Central Park in New York City takes 2 minutes. The final answer: (C).,A walk across Central Park in New York City takes 2 minutes.,C,1
4004,,Select the description that doesn't belong.,"['adult', 'child', 'aunt', 'teen']",2,,closed choice,grade3,language science,vocabulary,Correct–Correct,Select the words that don't belong,,"Aunt doesn't belong.
Child, teen, and adult all describe stages of life.",C,1,C,C,Reasoning:Adults do not have children. Adults do not have children. The final answer: (C).,Adults do not have children. Adults do not have children.,C,1
10959,,How long is a sunflower seed?,"['10 meters', '10 centimeters', '10 kilometers', '10 millimeters']",3,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Correct–Correct,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a sunflower seed is 10 millimeters.
10 centimeters, 10 meters, and 10 kilometers are all too long.",D,1,D,D,Reasoning:A sunflower seed has a length of 10 millimeters. The final answer: (D).,A sunflower seed has a length of 10 millimeters.,D,1
4073,,Select the bird.,"['western gorilla', 'red crowned crane', 'Asian elephant', 'giraffe']",1,,closed choice,grade5,natural science,biology,Correct–Correct,"Identify mammals, birds, fish, reptiles, and amphibians","Birds have feathers, two wings, and a beak.","An Asian elephant is a mammal. It has hair and feeds its young milk.
Elephants live in groups called herds. The oldest female in the herd is usually the leader.
A giraffe is a mammal. It has hair and feeds its young milk.
Giraffes eat mostly leaves that are too high up for other animals to reach.
A red crowned crane is a bird. It has feathers, two wings, and a beak.
Cranes wade in shallow water to look for food. Cranes eat insects, worms, and plants.
A western gorilla is a mammal. It has fur and feeds its young milk.
Gorillas live in groups called troops. The largest male in the troop is usually the leader.",B,1,B,B,Reasoning:Red crowned crane is a species of bird. The final answer: (B).,Red crowned crane is a species of bird.,B,1
5606,,"What do these two changes have in common?
making jam
a slice of banana turning brown","['Both are caused by heating.', 'Both are caused by cooling.', 'Both are only physical changes.', 'Both are chemical changes.']",3,,closed choice,grade8,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Making jam is a chemical change. It involves mixing fruit, sugar, and a substance called pectin.
When these ingredients are mixed and cooked, the chemical bonds in their molecules are broken. The atoms then link together to form different molecules that make up the jam.
A slice of banana turning brown is a chemical change. The part of the banana in contact with the air reacts with oxygen and turns into a different type of matter.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
The reaction that makes jam is caused by heating. But a slice of banana turning brown is not.
Both are caused by cooling.
Neither change is caused by cooling.",D,1,D,D,Reasoning:A slice of banana turning brown is a chemical change. The physical changes are the same. The final answer: (D).,A slice of banana turning brown is a chemical change. The physical changes are the same.,D,1
2533,,"What do these two changes have in common?
a piece of pear turning brown
baking cookies","['Both are chemical changes.', 'Both are caused by cooling.', 'Both are only physical changes.', 'Both are caused by heating.']",0,,closed choice,grade4,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
A piece of a pear turning brown is a chemical change. The substances in the pear react with oxygen in the air and turn into a different type of matter.
If you scrape off the brown part of the pear, the inside will still be white. The inside hasn't touched the air. So the chemical change hasn't happened to that part of the pear.
Baking cookies is a chemical change. The type of matter in the cookie dough changes when it is baked. The cookie dough turns into cookies!
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Baking is caused by heating. But a piece of pear turning brown is not.
Both are caused by cooling.
Neither change is caused by cooling.",(A),1,A,A,Reasoning:A piece of pear turning brown baking cookies is a chemical change. Both changes are chemical changes. The final answer: (A).,A piece of pear turning brown baking cookies is a chemical change. Both changes are chemical changes.,A,1
2789,,"What do these two changes have in common?
a piece of pear turning brown
salt and vinegar removing tarnish from a penny","['Both are only physical changes.', 'Both are caused by heating.', 'Both are caused by cooling.', 'Both are chemical changes.']",3,,closed choice,grade8,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
A piece of a pear turning brown is a chemical change. The substances in the pear react with oxygen in the air and turn into a different type of matter.
If you scrape off the brown part of the pear, the inside will still be white. The inside hasn't touched the air. So the chemical change hasn't happened to that part of the pear.
Salt and vinegar removing tarnish from a penny is a chemical change. The salt and vinegar change the tarnish into a different type of matter that can be easily wiped away. This makes the penny look shiny again.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(D),1,D,D,Reasoning:A piece of pear turning brown salt and vinegar removing tarnish from a penny. The final answer: (D).,A piece of pear turning brown salt and vinegar removing tarnish from a penny.,D,1
2684,,"What do these two changes have in common?
chemicals in a battery reacting to power a flashlight
an old sandwich rotting in a trashcan","['Both are chemical changes.', 'Both are only physical changes.', 'Both are caused by cooling.', 'Both are caused by heating.']",0,,closed choice,grade8,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Chemicals in a battery reacting to power a flashlight is a chemical change. When the flashlight is turned on, the chemicals in the battery react with each other to form new chemicals. This creates electricity, which powers the lightbulb.
A sandwich rotting is a chemical change. The matter in the sandwich breaks down and slowly turns into a different type of matter.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(A),1,A,A,Reasoning:Chemicals reacting to power a flashlight and an old sandwich rotting in a trashcan are chemical changes. The final answer: (A).,Chemicals reacting to power a flashlight and an old sandwich rotting in a trashcan are chemical changes.,A,1
8721,,"What do these two changes have in common?
milk going sour
rust forming on a metal gate","['Both are only physical changes.', 'Both are caused by heating.', 'Both are chemical changes.', 'Both are caused by cooling.']",2,,closed choice,grade3,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Milk going sour is a chemical change. The type of matter in the milk slowly changes. The new matter that is formed gives the milk its sour taste.
Rust forming on a metal gate is a chemical change. As the gate rusts, the metal turns into a different type of matter called rust. Rust is reddish-brown and falls apart easily.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(C),1,C,C,Reasoning:Milk going sour and rust forming on a metal gate are chemical changes. The final answer: (C).,Milk going sour and rust forming on a metal gate are chemical changes.,C,1
2804,,"What do these two changes have in common?
an old sandwich rotting in a trashcan
milk going sour","['Both are caused by heating.', 'Both are only physical changes.', 'Both are chemical changes.', 'Both are caused by cooling.']",2,,closed choice,grade7,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
A sandwich rotting is a chemical change. The matter in the sandwich breaks down and slowly turns into a different type of matter.
Milk going sour is a chemical change. The type of matter in the milk slowly changes. The new matter that is formed gives the milk its sour taste.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(C),1,C,C,Reasoning:(C) Both are chemical changes. An old sandwich rotting in a trashcan milk going sour is a chemical change. The final answer: (C).,(C) Both are chemical changes. An old sandwich rotting in a trashcan milk going sour is a chemical change.,C,1
786,,How long is a garden snail?,"['27 meters', '27 millimeters', '27 kilometers', '27 centimeters']",1,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Correct–Correct,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a garden snail is 27 millimeters.
27 centimeters, 27 meters, and 27 kilometers are all too long.",(B),1,B,B,Reasoning:Snails are 27 cm long. The final answer: (B).,Snails are 27 cm long.,B,1
10833,,"What do these two changes have in common?
burning a marshmallow over a campfire
rust forming on a bicycle frame","['Both are only physical changes.', 'Both are caused by heating.', 'Both are chemical changes.', 'Both are caused by cooling.']",2,,closed choice,grade4,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Burning a marshmallow is a chemical change. The heat from the fire causes the type of matter in the marshmallow to change. The marshmallow becomes black and crispy.
Rust forming on a bicycle frame is a chemical change. Oxygen in the air reacts with iron in the bicycle frame. The outside of the frame turns into a different type of matter called rust. Rust is reddish-brown and falls apart easily.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Burning is caused by heating. But rust forming on a bicycle frame is not.
Both are caused by cooling.
Neither change is caused by cooling.",(C),1,C,C,Reasoning:Burning a marshmallow over a campfire causes rust to form on a bicycle frame. The final answer: (C).,Burning a marshmallow over a campfire causes rust to form on a bicycle frame.,C,1
12116,,Select the amphibian.,"['wombat', 'barn owl', 'helmeted iguana', 'African bullfrog']",3,,closed choice,grade5,natural science,biology,Correct–Correct,"Identify mammals, birds, fish, reptiles, and amphibians",Amphibians have moist skin and begin their lives in water.,"An African bullfrog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.
A wombat is a mammal. It has fur and feeds its young milk.
Wombats have strong claws on their front feet. They use their claws to dig underground holes called burrows.
A barn owl is a bird. It has feathers, two wings, and a beak.
Barn owls live on every continent except Antarctica.
A helmeted iguana is a reptile. It has scaly, waterproof skin.
Iguanas are a type of lizard. Iguanas eat plants and fruit.",D,1,D,D,Reasoning:Wombat is an amphibian. Wombat is a reptile. Wombat is an amphibian. The final answer: (D).,Wombat is an amphibian. Wombat is a reptile. Wombat is an amphibian.,D,1
30,,Select the living thing.,"['teddy bear', 'amoebae', 'van', 'kite']",1,,closed choice,grade4,natural science,biology,Correct–Correct,Identify living and nonliving things,"All living things are made up of cells. Plants, animals, and some fungi have many cells. Other living things are made up of just one cell.
All living things need food and water. Water helps living things break down food and remove waste. Food gives living things energy. They use energy from food to grow and change.
All living things sense changes in their environment. Living things might sense changes by seeing, smelling, hearing, or feeling. Living things can respond to the changes they sense.","A teddy bear is not a living thing.
Teddy bears do not have all of the traits of living things. They do not grow or respond to their environment. They do not need food or water.
A kite is not a living thing.
A kite does not have all the traits of a living thing. It moves fast in the wind, but it does not grow. It does not need food or water.
A van is not a living thing.
A van does not have all the traits of a living thing. Vans need energy, but they do not eat food. They get energy from gasoline or electricity. Vans do not grow.
Amoebae are living things.
Amoebae grow and respond to their environment. They need food and water.
Amoebae are made up of just one cell. Amoebae live in fresh water, in salt water, and in the soil.",B,1,B,B,Reasoning:Amoebae are the only living things. The final answer: (B).,Amoebae are the only living things.,B,1
1408,,Select the living thing.,"['sea star', 'backpack', 'the Statue of Liberty', 'iceberg']",0,,closed choice,grade4,natural science,biology,Correct–Correct,Identify living and nonliving things,"All living things are made up of cells. Plants, animals, and some fungi have many cells. Other living things are made up of just one cell.
All living things need food and water. Water helps living things break down food and remove waste. Food gives living things energy. They use energy from food to grow and change.
All living things sense changes in their environment. Living things might sense changes by seeing, smelling, hearing, or feeling. Living things can respond to the changes they sense.","A backpack is not a living thing.
Backpacks do not have all of the traits of living things. They do not grow or respond to their environment. They do not need food or water.
A sea star is a living thing.
Sea stars grow and respond to their environment. They need food and water. Sea stars are made up of many cells.
Sea stars are animals. They can use their arms to walk on the ocean floor.
An iceberg is not a living thing.
An iceberg does not have all the traits of a living thing. It may grow or melt in response to the world around it, but it does not need food.
The Statue of Liberty is not a living thing.
The Statue of Liberty is shaped like a person. But it does not have all the traits of a living thing. It does not grow or respond to the world around it. It does not need food or water.",A,1,A,A,Reasoning:Sea star is a living thing. The final answer: (A).,Sea star is a living thing.,A,1
6868,,"What do these two changes have in common?
a banana getting ripe on the counter
mixing glue and laundry powder to create putty","['Both are only physical changes.', 'Both are caused by heating.', 'Both are chemical changes.', 'Both are caused by cooling.']",2,,closed choice,grade8,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
A banana getting ripe on the counter is a chemical change. As a banana ripens, the type of matter in it changes. The peel changes color and the inside becomes softer and sweeter.
Mixing glue and laundry powder to create putty is a chemical change. The putty is a different type of matter that was not there before the change.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(C),1,C,C,Reasoning:A banana getting ripe on the counter mixing glue and laundry powder to create putty. The final answer: (C).,A banana getting ripe on the counter mixing glue and laundry powder to create putty.,C,1
6284,,"What do these two changes have in common?
a log decomposing in the woods
using polish to remove tarnish from a silver spoon","['Both are chemical changes.', 'Both are caused by heating.', 'Both are only physical changes.', 'Both are caused by cooling.']",0,,closed choice,grade8,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
The breakdown of plant and animal matter by organisms such as fungi and earthworms is called decomposition. A log decomposing in the woods is a chemical change.
As the log breaks down, the type of matter in it changes. Over time, the log becomes softer and has a different smell.
A tarnished silver spoon is one that has become less shiny over time. Polishing the spoon makes it look shiny again.
The polish changes the tarnish into a different type of matter that can be easily wiped away. So, using polish to remove tarnish from silver is a chemical change.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(A),1,A,A,Reasoning:A log decomposing in the woods using polish to remove tarnish from a silver spoon is a chemical change. The final answer: (A).,A log decomposing in the woods using polish to remove tarnish from a silver spoon is a chemical change.,A,1
9934,,"What do these two changes have in common?
an old sandwich rotting in a trashcan
a piece of pear turning brown","['Both are only physical changes.', 'Both are caused by cooling.', 'Both are caused by heating.', 'Both are chemical changes.']",3,,closed choice,grade4,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
A sandwich rotting is a chemical change. The matter in the sandwich breaks down and slowly turns into a different type of matter.
A piece of a pear turning brown is a chemical change. The substances in the pear react with oxygen in the air and turn into a different type of matter.
If you scrape off the brown part of the pear, the inside will still be white. The inside hasn't touched the air. So the chemical change hasn't happened to that part of the pear.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(D),1,D,D,Reasoning:A sandwich is rotting and a piece of pear is turning brown. The final answer: (D).,A sandwich is rotting and a piece of pear is turning brown.,D,1
8933,,Hanukkah is a holiday in which religion?,"['Islam', 'Judaism', 'Hinduism', 'Christianity']",1,,closed choice,grade3,social science,culture,Correct–Correct,Hanukkah,,Hanukkah is a holiday in the religion of Judaism. Followers of Judaism are known as Jews.,B,1,B,B,Reasoning:Hanukkah is a holiday in Judaism. The final answer: (B).,Hanukkah is a holiday in Judaism.,B,1
